Begrip,Context,Juridische context,Wettelijke basis,Definitie_origineel,Definitie_gecorrigeerd,Voorbeelden,Toelichting,Synoniemen,Antoniemen,Vrije input,Datum,Voorsteller,Ketenpartners,Timestamp,Regel 1,Regel 2,Regel 3,Regel 4,Regel 5,Regel 6,Regel 7,Regel 8,Regel 9,Regel 10,Regel 11,Regel 12,Regel 13,Regel 14,Regel 15,Regel 16,Regel 17,Regel 18,Regel 19,Regel 20,Regel 21,Regel 22,Regel 23,Regel 24,Regel 25,Regel 26,Regel 27,Regel 28,Regel 29,Regel 30,Regel 31,Regel 32,Regel 33,Regel 34,Regel 35,Regel 36,Versietype,Regel 37,Regel 38,Regel 39,Regel 40,Regel 41,Regel 42,Regel 43,Regel 44,Regel 45,Definitie,Expert-review,Voorbeeld_zinnen,Praktijkvoorbeelden
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonskenmerken van een individu worden geverifieerd om diens identiteit te bevestigen.,Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonskenmerken van een individu worden geverifieerd om diens identiteit te bevestigen.,"1. ""Bij de grenscontrole voerde de KMAR een grondige identiteitsvaststelling uit om te verifiëren of de passagiers overeenkwamen met hun paspoorten.""
2. ""In het kader van het strafrecht is identiteitsvaststelling een cruciale stap om te verzekeren dat de juiste persoon wordt berecht.""
3. ""Volgens de Politiegegevenswet is een gedetailleerde identiteitsvaststelling vereist voordat persoonlijke informatie kan worden verzameld en verwerkt.""","Identiteitsvaststelling is het proces waarbij de identiteit van een persoon wordt geverifieerd. Dit kan nodig zijn in verschillende situaties, zoals bij de uitgifte van officiële documenten, bij het aangaan van contracten of bij het uitvoeren van bepaalde wettelijke taken door overheidsinstanties. 

In de context van de Koninklijke Marechaussee (KMAR) en het strafrecht kan identiteitsvaststelling bijvoorbeeld noodzakelijk zijn om te bepalen of een persoon verdacht wordt van een misdrijf, of om te verifiëren of een persoon is wie hij of zij beweert te zijn. 

Volgens de Politiegegevenswet heeft de politie de bevoegdheid om persoonsgegevens te verwerken voor het uitvoeren van haar taken, waaronder het vaststellen van iemands identiteit. Dit kan bijvoorbeeld gebeuren door het controleren van identiteitsdocumenten, of door het gebruik van biometrische gegevens zoals vingerafdrukken. 

Identiteitsvaststelling is een belangrijk onderdeel van het werk van overheidsinstanties en andere organisaties, omdat het helpt om fraude en misbruik te voorkomen en om de veiligheid","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsverduistering
4. Naamloosheid
5. Onbekendheid",,2025-06-13,,,2025-06-13T11:06:20.953922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonskenmerken van een individu worden geverifieerd om diens identiteit te bevestigen.,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonskenmerken van een individu worden geverifieerd om diens identiteit te bevestigen.,Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonskenmerken van een individu worden geverifieerd om diens identiteit te bevestigen.,"1. ""Bij de grenscontrole voerde de KMAR een grondige identiteitsvaststelling uit om te verifiëren of de passagiers overeenkwamen met hun paspoorten.""
2. ""In het kader van het strafrecht is identiteitsvaststelling een cruciale stap om te verzekeren dat de juiste persoon wordt berecht.""
3. ""Volgens de Politiegegevenswet is een gedetailleerde identiteitsvaststelling vereist voordat persoonlijke informatie kan worden verzameld en verwerkt.""","Identiteitsvaststelling is het proces waarbij de identiteit van een persoon wordt geverifieerd. Dit kan nodig zijn in verschillende situaties, zoals bij de uitgifte van officiële documenten, bij het aangaan van contracten of bij het uitvoeren van bepaalde wettelijke taken door overheidsinstanties. 

In de context van de Koninklijke Marechaussee (KMAR) en het strafrecht kan identiteitsvaststelling bijvoorbeeld noodzakelijk zijn om te bepalen of een persoon verdacht wordt van een misdrijf, of om te verifiëren of een persoon is wie hij of zij beweert te zijn. 

Volgens de Politiegegevenswet heeft de politie de bevoegdheid om persoonsgegevens te verwerken voor het uitvoeren van haar taken, waaronder het vaststellen van iemands identiteit. Dit kan bijvoorbeeld gebeuren door het controleren van identiteitsdocumenten, of door het gebruik van biometrische gegevens zoals vingerafdrukken. 

Identiteitsvaststelling is een belangrijk onderdeel van het werk van overheidsinstanties en andere organisaties, omdat het helpt om fraude en misbruik te voorkomen en om de veiligheid","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsverduistering
4. Naamloosheid
5. Onbekendheid",,2025-06-13,,,2025-06-13T11:07:28.423183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonskenmerken van een individu worden geverifieerd om diens identiteit te bevestigen.,,,
,,,,,,,,,,,2025-06-13,,,2025-06-13T11:28:40.821842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,,,,,,,,,,,2025-06-13,,,2025-06-13T11:29:00.212467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,,,,,,,,,,2025-06-13,,,2025-06-13T11:29:01.952360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,,,,,,,,,2025-06-13,,,2025-06-13T11:29:03.727605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,,,,,,,,2025-06-13,,,2025-06-13T11:29:05.705491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,,,,,,,,2025-06-13,,,2025-06-13T11:29:07.278361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,"Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.","Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.","1. ""De KMAR voerde een grondige identiteitsvaststelling uit bij de verdachte om te verzekeren dat ze de juiste persoon hadden.""
2. ""Binnen het strafrecht is een correcte identiteitsvaststelling cruciaal om te voorkomen dat de verkeerde persoon wordt vervolgd.""
3. ""Volgens de Politiegegevenswet is de identiteitsvaststelling een noodzakelijke stap bij het verzamelen en verwerken van persoonsgegevens.""","Identiteitsvaststelling is het proces waarbij de identiteit van een persoon wordt bevestigd of vastgesteld. Dit kan worden gedaan door middel van verschillende methoden, zoals het controleren van identiteitsdocumenten (zoals paspoorten of rijbewijzen), het nemen van vingerafdrukken, of het gebruik van biometrische gegevens. In de overheidscontext wordt identiteitsvaststelling vaak gebruikt om de identiteit van een persoon te verifiëren voor juridische of administratieve doeleinden.

Bijvoorbeeld, in de context van de Koninklijke Marechaussee (KMAR), kan identiteitsvaststelling worden gebruikt bij grenscontroles om de identiteit van reizigers te verifiëren. In het strafrecht kan identiteitsvaststelling worden gebruikt om de identiteit van een verdachte of getuige te bevestigen. 

De wettelijke basis voor identiteitsvaststelling kan worden gevonden in de Politiegegevenswet. Deze wet regelt de verwerking van persoonsgegevens door de politie voor de uitvoering van haar taken, waaronder de vaststelling van de identiteit van personen.","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvervalsing
4. Onbekendmaking
5. Identiteitsontkenning",,2025-06-13,,,2025-06-13T11:29:51.805836,"🟡 CON-01: bredere contexttaal herkend (om, e), formulering mogelijk vaag","🟡 CON-02: bronvermelding aanwezig (Identiteitsvaststelling is een term die in verschillende contexten kan worden gebruikt, maar in de context van de Koninklijke Marechaussee (KMAR) en het strafrecht, verwijst het naar het proces van het verifiëren van de identiteit van een persoon. Dit kan bijvoorbeeld gebeuren door middel van het controleren van officiële identificatiedocumenten zoals een paspoort of rijbewijs.

De wettelijke basis voor identiteitsvaststelling in deze context kan worden gevonden in de Politiegegevenswet. Deze wet regelt onder andere de verwerking van persoonsgegevens door de politie voor de uitvoering van haar taken. In deze wet is vastgelegd dat de politie, en dus ook de KMAR, bevoegd is om persoonsgegevens te verwerken voor de vaststelling van de identiteit van personen.

Daarnaast kan de Wet op de identificatieplicht ook relevant zijn. Deze wet stelt dat iedereen vanaf 14 jaar een geldig identiteitsbewijs moet kunnen tonen als de politie daar om vraagt. Hierdoor heeft de KMAR de bevoegdheid om de identiteit van personen te controleren.

Verder kan de Algemene wet bestuursrecht (Awb) van toepassing zijn. In deze wet is onder meer geregeld dat een bestuursorgaan, zoals de KMAR, de bevoegdheid heeft om de identiteit van een persoon vast te stellen.

Tot slot kan de praktijk van identiteitsvaststelling ook worden beïnvloed door richtlijnen en protocollen van de KMAR zelf, evenals door internationale verdragen en richtlijnen, zoals de Schengenovereenkomst, die regels stelt voor grenscontroles en de verwerking van persoonsgegevens door de politie.), maar mogelijk te algemeen",✔️ ESS-01: geen doelgerichte formuleringen aangetroffen in de definitie,"❌ ESS-02: type(n) herkend (s), maar zonder duidelijke toelichting",❌ ESS-03: geen unieke of onderscheidende formuleringen gevonden,❌ ESS-04: geen toetsbare elementen herkend in de definitie,❌ ESS-05: geen onderscheidende formulering aangetroffen in de definitie,"❌ INT-01: complexe elementen gevonden (waarbij, en, of, ,), maar geen expliciet fout voorbeeld herkend",✔️ INT-02: geen beslisregels of voorwaardelijke formuleringen aangetroffen,✔️ INT-03: geen voornaamwoord-verwijzingen aangetroffen,✔️ INT-04: geen onduidelijke lidwoord-verwijzingen aangetroffen,"❌ INT-06: toelichtende elementen gevonden (waarbij), maar geen expliciet fout voorbeeld herkend","❌ INT-07: afkortingen gevonden (en, op, te, worden, dat, naar, de, of, om, van, basis, unieke, een), maar geen toelichting of verwijzing gevonden",✅ INT-08: definitie bevat geen negatieve formuleringen,✅ INT-09: geen opsommingen gevonden in de definitie,✅ INT-10: geen ontoegankelijke of impliciete achtergrondverwijzingen gevonden,✔️ SAM-01: geen afwijkende kwalificaties aangetroffen in de definitie,"❌ SAM-02: overbodige herhaling(en) gevonden in definitie (gegevensbronnen, gegevens)",✔️ SAM-03: geen geneste of verweven definities aangetroffen,✔️ SAM-04: geen conflictieve formuleringen aangetroffen – mogelijk correct gedefinieerd,❌ SAM-05: definitie start met cirkeldefinitie (begrip gevolgd door verboden constructie),"❌ SAM-06: synoniemen herkend (of), maar geen duidelijke voorkeursbenaming",✔️ SAM-07: geen uitbreidende elementen herkend,✔️ SAM-08: geen synoniemverwijzing herkend – mogelijk correct toegepast,✔️ STR-01: geen werkwoordelijke start herkend – mogelijk goed geformuleerd,✔️ STR-02: geen herhaling van term herkend – mogelijk correct geformuleerd,✔️ STR-03: geen synonieme formulering gevonden,✔️ STR-04: geen algemene kick-off zonder toespitsing,✔️ STR-05: geen constructie-elementen gevonden,✔️ STR-06: geen formuleringen die informatiebehoefte suggereren,✔️ STR-07: geen dubbele ontkenning aangetroffen,"❌ STR-08: dubbelzinnige 'en'-constructie(s) gevonden (), context verduidelijken","❌ STR-09: dubbelzinnige 'of'-constructie(s) gevonden (of), context verduidelijken","❌ VER-01: meervoudsvorm herkend (gegevens), eenduidigheid controleren",✔️ VER-02: definitie is enkelvoudig geformuleerd,"❌ VER-03: werkwoord niet in infinitief (), controle nodig",AI,✔️ ARAI01: geen werkwoorden als kern gevonden in de definitie,✔️ ARAI02: geen containerbegrippen zonder concretisering aangetroffen,✔️ ARAI02SUB1: geen containerbegrippen aangetroffen,✔️ ARAI02SUB2: geen ambtelijke containerbegrippen aangetroffen,✔️ ARAI03: geen subjectieve bijvoeglijke naamwoorden aangetroffen,✔️ ARAI04: geen modale hulpwerkwoorden aangetroffen,✔️ ARAI04SUB1: geen modale werkwoorden aangetroffen in de definitie,✔️ ARAI05: geen impliciete aannames aangetroffen,"❌ ARAI06: formele opbouwfout(en): begrip gevolgd door verboden constructie, begint met een verboden constructie, herhaalt het begrip.","Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.",,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,"Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.","Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.","1. ""De KMAR voerde een grondige identiteitsvaststelling uit bij de verdachte om te verzekeren dat ze de juiste persoon hadden.""
2. ""Binnen het strafrecht is een correcte identiteitsvaststelling cruciaal om te voorkomen dat de verkeerde persoon wordt vervolgd.""
3. ""Volgens de Politiegegevenswet is de identiteitsvaststelling een noodzakelijke stap bij het verzamelen en verwerken van persoonsgegevens.""","Identiteitsvaststelling is het proces waarbij de identiteit van een persoon wordt bevestigd of vastgesteld. Dit kan worden gedaan door middel van verschillende methoden, zoals het controleren van identiteitsdocumenten (zoals paspoorten of rijbewijzen), het nemen van vingerafdrukken, of het gebruik van biometrische gegevens. In de overheidscontext wordt identiteitsvaststelling vaak gebruikt om de identiteit van een persoon te verifiëren voor juridische of administratieve doeleinden.

Bijvoorbeeld, in de context van de Koninklijke Marechaussee (KMAR), kan identiteitsvaststelling worden gebruikt bij grenscontroles om de identiteit van reizigers te verifiëren. In het strafrecht kan identiteitsvaststelling worden gebruikt om de identiteit van een verdachte of getuige te bevestigen. 

De wettelijke basis voor identiteitsvaststelling kan worden gevonden in de Politiegegevenswet. Deze wet regelt de verwerking van persoonsgegevens door de politie voor de uitvoering van haar taken, waaronder de vaststelling van de identiteit van personen.","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvervalsing
4. Onbekendmaking
5. Identiteitsontkenning",,2025-06-13,,,2025-06-13T11:29:51.828508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,"Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.",,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,"Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.","Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.","1. ""De KMAR voerde een grondige identiteitsvaststelling uit bij de verdachte om te verzekeren dat ze de juiste persoon hadden.""
2. ""Binnen het strafrecht is een correcte identiteitsvaststelling cruciaal om te voorkomen dat de verkeerde persoon wordt vervolgd.""
3. ""Volgens de Politiegegevenswet is de identiteitsvaststelling een noodzakelijke stap bij het verzamelen en verwerken van persoonsgegevens.""","Identiteitsvaststelling is het proces waarbij de identiteit van een persoon wordt bevestigd of vastgesteld. Dit kan worden gedaan door middel van verschillende methoden, zoals het controleren van identiteitsdocumenten (zoals paspoorten of rijbewijzen), het nemen van vingerafdrukken, of het gebruik van biometrische gegevens. In de overheidscontext wordt identiteitsvaststelling vaak gebruikt om de identiteit van een persoon te verifiëren voor juridische of administratieve doeleinden.

Bijvoorbeeld, in de context van de Koninklijke Marechaussee (KMAR), kan identiteitsvaststelling worden gebruikt bij grenscontroles om de identiteit van reizigers te verifiëren. In het strafrecht kan identiteitsvaststelling worden gebruikt om de identiteit van een verdachte of getuige te bevestigen. 

De wettelijke basis voor identiteitsvaststelling kan worden gevonden in de Politiegegevenswet. Deze wet regelt de verwerking van persoonsgegevens door de politie voor de uitvoering van haar taken, waaronder de vaststelling van de identiteit van personen.","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimisering
3. Identiteitsvervalsing
4. Onbekendmaking
5. Identiteitsontkenning",,2025-06-13,,,2025-06-13T11:31:20.594624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,"Identiteitsvaststelling verwijst naar de procedure waarbij de unieke persoonlijke gegevens van een individu worden geverifieerd en vastgelegd, op basis van officiële documenten of gegevensbronnen, om de juridische identiteit van dat individu onomstotelijk te bepalen.",,,
,,,,,,,,,,,2025-06-13,,,2025-06-13T13:01:03.429957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,,,,,,,,,,,2025-06-13,,,2025-06-13T13:01:11.093219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,,,,,,,,,,2025-06-13,,,2025-06-13T13:01:12.815571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Bestuursrecht,,,,,,,,,2025-06-13,,,2025-06-13T13:01:16.482493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Bestuursrecht,Politiegegevenswet,,,,,,,,2025-06-13,,,2025-06-13T13:01:18.482281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
,,,,,,,,,,,2025-06-13,,,2025-06-13T13:03:28.044883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,,,,,,,,,,,2025-06-13,,,2025-06-13T13:03:37.281527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,,,,,,,,,,2025-06-13,,,2025-06-13T13:04:44.844085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,,,,,,,,,2025-06-13,,,2025-06-13T13:04:47.987486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,,,,,,,,2025-06-13,,,2025-06-13T13:04:49.894003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,,,,,,,,2025-06-13,,,2025-06-13T13:04:52.006146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aangepast,,,,,,,,,,,,,
identiteitsvaststelling,KMAR,Strafrecht,Politiegegevenswet,Identiteitsvaststelling verwijst naar de procedure waarbij de identiteit van een persoon wordt bevestigd door middel van het verifiëren van persoonsgegevens en identificatiedocumenten.,Identiteitsvaststelling verwijst naar de procedure waarbij de identiteit van een persoon wordt bevestigd door middel van het verifiëren van persoonsgegevens en identificatiedocumenten.,"1. ""De KMAR voerde een identiteitsvaststelling uit bij de verdachte om te verifiëren of hij de persoon was die in het opsporingsregister stond.""
2. ""In het kader van het strafrecht is een correcte identiteitsvaststelling essentieel om ervoor te zorgen dat de juiste persoon wordt vervolgd voor een misdrijf.""
3. ""Volgens de Politiegegevenswet heeft de politie het recht om een identiteitsvaststelling uit te voeren bij personen die verdacht worden van een strafbaar feit.""","'Identiteitsvaststelling' is een term die vaak voorkomt in overheidsdocumenten en verwijst naar het proces waarbij de identiteit van een persoon wordt bevestigd. Dit kan gedaan worden door het controleren van officiële identificatiedocumenten zoals een paspoort of rijbewijs, of door het gebruik van biometrische gegevens zoals vingerafdrukken of gezichtsherkenning. 

In de organisatorische context van de Koninklijke Marechaussee (KMAR) is identiteitsvaststelling bijvoorbeeld essentieel bij grenscontroles, waar ze moeten verifiëren dat de persoon die een land binnenkomt of verlaat daadwerkelijk de persoon is die ze beweren te zijn.

In de juridische context van het strafrecht is identiteitsvaststelling belangrijk om te verzekeren dat de juiste persoon wordt aangeklaagd en berecht voor een misdrijf. Het kan ook helpen bij het opsporen en lokaliseren van verdachten.

De wettelijke basis voor identiteitsvaststelling wordt onder andere gevormd door de Politiegegevenswet. Deze wet regelt hoe de politie persoonsgegevens mag verwerken, inclusief gegevens","1. Identificatie
2. Persoonsverificatie
3. Identiteitscontrole
4. Persoonsidentificatie
5. Identiteitsverificatie","1. Identiteitsverhulling
2. Anonimiteit
3. Identiteitsverwaarlozing
4. Identiteitsontkenning
5. Identiteitsvermijding",,2025-06-13,,,2025-06-13T13:05:44.119177,✔️ CON-01: geen expliciete contextverwijzing aangetroffen,"🟡 CON-02: bronvermelding aanwezig (De definitie van 'identiteitsvaststelling' in de context van de Koninklijke Marechaussee (KMAR) en het strafrecht, en met betrekking tot de Politiegegevenswet, is gebaseerd op verschillende bronnen:

1. Politiegegevenswet: Deze wet regelt de verwerking van politiegegevens door politie en Koninklijke Marechaussee. Volgens deze wet mag de politie persoonsgegevens verwerken voor de uitvoering van de politietaak, waaronder het vaststellen van iemands identiteit.

2. Wet op de identificatieplicht: Deze wet verplicht iedereen vanaf 14 jaar om een geldig identiteitsbewijs te kunnen tonen als de politie of andere bevoegde instanties daar om vragen. Hierdoor kan de KMAR iemands identiteit vaststellen.

3. Wetboek van Strafvordering: Dit wetboek regelt de procedures in het strafrecht, inclusief de regels voor de identiteitsvaststelling van verdachten.

4. Richtlijnen van de KMAR: De KMAR heeft eigen richtlijnen voor de uitvoering van haar taken, waaronder de identiteitsvaststelling. Deze richtlijnen zijn gebaseerd op de bovengenoemde wetten en op de praktijkervaring van de KMAR.

5. Jurisprudentie: Uitspraken van rechters kunnen ook een bron zijn voor de definitie van 'identiteitsvaststelling'. Rechters interpreteren de wetten en richtlijnen en passen deze toe op specifieke gevallen.

6. Literatuur: Er zijn veel juridische en criminologische publicaties die het concept van 'identiteitsvaststelling' behandelen. Deze kunnen helpen om de definitie te verfijnen en te verduidelijken.

7. Opleiding en training: De opleiding en training die medewerkers van de KMAR ontvangen, kan ook bijdragen aan de definitie van 'identiteitsvaststelling'. Deze opleiding en training zijn gebaseerd op de wetten, richtlijnen, jurisprudentie en literatuur.), maar mogelijk te algemeen",✔️ ESS-01: geen doelgerichte formuleringen aangetroffen in de definitie,❌ ESS-02: geen expliciet type of instantie herkend in de definitie,❌ ESS-03: geen unieke of onderscheidende formuleringen gevonden,❌ ESS-04: geen toetsbare elementen herkend in de definitie,❌ ESS-05: geen onderscheidende formulering aangetroffen in de definitie,"❌ INT-01: complexe elementen gevonden (waarbij, en), maar geen expliciet fout voorbeeld herkend",✔️ INT-02: geen beslisregels of voorwaardelijke formuleringen aangetroffen,✔️ INT-03: geen voornaamwoord-verwijzingen aangetroffen,✔️ INT-04: geen onduidelijke lidwoord-verwijzingen aangetroffen,"❌ INT-06: toelichtende elementen gevonden (waarbij), maar geen expliciet fout voorbeeld herkend","❌ INT-07: afkortingen gevonden (de, naar, middel, het, een, en, van, door, wordt), maar geen toelichting of verwijzing gevonden",✅ INT-08: definitie bevat geen negatieve formuleringen,✅ INT-09: geen opsommingen gevonden in de definitie,✅ INT-10: geen ontoegankelijke of impliciete achtergrondverwijzingen gevonden,✔️ SAM-01: geen afwijkende kwalificaties aangetroffen in de definitie,❌ SAM-02: overbodige herhaling(en) gevonden in definitie (persoonsgegevens),✔️ SAM-03: geen geneste of verweven definities aangetroffen,✔️ SAM-04: geen conflictieve formuleringen aangetroffen – mogelijk correct gedefinieerd,❌ SAM-05: definitie start met cirkeldefinitie (begrip gevolgd door verboden constructie),✔️ SAM-06: geen synoniemgebruik herkend,✔️ SAM-07: geen uitbreidende elementen herkend,✔️ SAM-08: geen synoniemverwijzing herkend – mogelijk correct toegepast,✔️ STR-01: geen werkwoordelijke start herkend – mogelijk goed geformuleerd,✔️ STR-02: geen herhaling van term herkend – mogelijk correct geformuleerd,✔️ STR-03: geen synonieme formulering gevonden,✔️ STR-04: geen algemene kick-off zonder toespitsing,✔️ STR-05: geen constructie-elementen gevonden,✔️ STR-06: geen formuleringen die informatiebehoefte suggereren,✔️ STR-07: geen dubbele ontkenning aangetroffen,"❌ STR-08: dubbelzinnige 'en'-constructie(s) gevonden (), context verduidelijken",✔️ STR-09: geen dubbelzinnige 'of'-constructies aangetroffen,✔️ VER-01: term is enkelvoudig,✔️ VER-02: definitie is enkelvoudig geformuleerd,"❌ VER-03: werkwoord niet in infinitief (), controle nodig",AI,"❌ ARAI01: werkwoord(en) als kern gevonden (wordt), geen toelichting herkend",✔️ ARAI02: geen containerbegrippen zonder concretisering aangetroffen,✔️ ARAI02SUB1: geen containerbegrippen aangetroffen,✔️ ARAI02SUB2: geen ambtelijke containerbegrippen aangetroffen,✔️ ARAI03: geen subjectieve bijvoeglijke naamwoorden aangetroffen,✔️ ARAI04: geen modale hulpwerkwoorden aangetroffen,✔️ ARAI04SUB1: geen modale werkwoorden aangetroffen in de definitie,✔️ ARAI05: geen impliciete aannames aangetroffen,⚠️ ARAI06: fout bij uitvoeren toetsfunctie – toets_ARAI06() got multiple values for argument 'begrip',Identiteitsvaststelling verwijst naar de procedure waarbij de identiteit van een persoon wordt bevestigd door middel van het verifiëren van persoonsgegevens en identificatiedocumenten.,,,
